等级	速攻攻击	速攻防御	速攻生命	速攻速度	支援攻击	支援防御	支援生命	支援速度	妨害攻击	妨害防御	妨害生命	妨害速度	坦克攻击	坦克防御	坦克生命	坦克速度	回复攻击	回复防御	回复生命	回复速度	攻击攻击	攻击防御	攻击生命	攻击速度
287	49397.76	17152	343040	806.4	41164.8	17152	411648	672	41164.8	17152	411648	672	34304	22869.27616	463104	604.8	49397.76	15592.727273	349392.24212	537.6	54886.262784	17152	308736.77184	470.4
288	49731.84	17268	345360	808.8	41443.2	17268	414432	674	41443.2	17268	414432	674	34536	23023.94244	466236	606.6	49731.84	15698.181818	351755.20271	539.2	55257.461856	17268	310824.77706	471.8
289	50065.92	17384	347680	811.2	41721.6	17384	417216	676	41721.6	17384	417216	676	34768	23178.60872	469368	608.4	50065.92	15803.636364	354118.16331	540.8	55628.660928	17384	312912.78228	473.2
290	50400	17500	350000	813.6	42000	17500	420000	678	42000	17500	420000	678	35000	23333.275	472500	610.2	50400	15909.090909	356481.1239	542.4	55999.86	17500	315000.7875	474.6
291	50745.6	17620	352400	816	42288	17620	422880	680	42288	17620	422880	680	35240	23493.2746	475740	612	50745.6	16018.181818	358925.56589	544	56383.85904	17620	317160.7929	476
292	51091.2	17740	354800	818.4	42576	17740	425760	682	42576	17740	425760	682	35480	23653.2742	478980	613.8	51091.2	16127.272727	361370.00789	545.6	56767.85808	17740	319320.7983	477.4
293	51436.8	17860	357200	820.8	42864	17860	428640	684	42864	17860	428640	684	35720	23813.2738	482220	615.6	51436.8	16236.363636	363814.44988	547.2	57151.85712	17860	321480.8037	478.8
294	51782.4	17980	359600	823.2	43152	17980	431520	686	43152	17980	431520	686	35960	23973.2734	485460	617.4	51782.4	16345.454545	366258.89187	548.8	57535.85616	17980	323640.8091	480.2
295	52128	18100	362000	825.6	43440	18100	434400	688	43440	18100	434400	688	36200	24133.273	488700	619.2	52128	16454.545455	368703.33386	550.4	57919.8552	18100	325800.8145	481.6
296	52473.6	18220	364400	828	43728	18220	437280	690	43728	18220	437280	690	36440	24293.2726	491940	621	52473.6	16563.636364	371147.77585	552	58303.85424	18220	327960.8199	483
297	52819.2	18340	366800	830.4	44016	18340	440160	692	44016	18340	440160	692	36680	24453.2722	495180	622.8	52819.2	16672.727273	373592.21785	553.6	58687.85328	18340	330120.8253	484.4
298	53164.8	18460	369200	832.8	44304	18460	443040	694	44304	18460	443040	694	36920	24613.2718	498420	624.6	53164.8	16781.818182	376036.65984	555.2	59071.85232	18460	332280.8307	485.8
299	53510.4	18580	371600	835.2	44592	18580	445920	696	44592	18580	445920	696	37160	24773.2714	501660	626.4	53510.4	16890.909091	378481.10183	556.8	59455.85136	18580	334440.8361	487.2
300	53856	18700	374000	837.6	44880	18700	448800	698	44880	18700	448800	698	37400	24933.271	504900	628.2	53856	17000	380925.54382	558.4	59839.8504	18700	336600.8415	488.6
301	54213.12	18824	376480	840	45177.6	18824	451776	700	45177.6	18824	451776	700	37648	25098.60392	508248	630	54213.12	17112.727273	383451.46722	560	60236.649408	18824	338832.84708	490
302	54570.24	18948	378960	842.4	45475.2	18948	454752	702	45475.2	18948	454752	702	37896	25263.93684	511596	631.8	54570.24	17225.454545	385977.39061	561.6	60633.448416	18948	341064.85266	491.4
303	54927.36	19072	381440	844.8	45772.8	19072	457728	704	45772.8	19072	457728	704	38144	25429.26976	514944	633.6	54927.36	17338.181818	388503.314	563.2	61030.247424	19072	343296.85824	492.8
304	55284.48	19196	383920	847.2	46070.4	19196	460704	706	46070.4	19196	460704	706	38392	25594.60268	518292	635.4	55284.48	17450.909091	391029.23739	564.8	61427.046432	19196	345528.86382	494.2
305	55641.6	19320	386400	849.6	46368	19320	463680	708	46368	19320	463680	708	38640	25759.9356	521640	637.2	55641.6	17563.636364	393555.16079	566.4	61823.84544	19320	347760.8694	495.6
306	55998.72	19444	388880	852	46665.6	19444	466656	710	46665.6	19444	466656	710	38888	25925.26852	524988	639	55998.72	17676.363636	396081.08418	568	62220.644448	19444	349992.87498	497
307	56355.84	19568	391360	854.4	46963.2	19568	469632	712	46963.2	19568	469632	712	39136	26090.60144	528336	640.8	56355.84	17789.090909	398607.00757	569.6	62617.443456	19568	352224.88056	498.4
308	56712.96	19692	393840	856.8	47260.8	19692	472608	714	47260.8	19692	472608	714	39384	26255.93436	531684	642.6	56712.96	17901.818182	401132.93096	571.2	63014.242464	19692	354456.88614	499.8
309	57070.08	19816	396320	859.2	47558.4	19816	475584	716	47558.4	19816	475584	716	39632	26421.26728	535032	644.4	57070.08	18014.545455	403658.85435	572.8	63411.041472	19816	356688.89172	501.2
310	57427.2	19940	398800	861.6	47856	19940	478560	718	47856	19940	478560	718	39880	26586.6002	538380	646.2	57427.2	18127.272727	406184.77775	574.4	63807.84048	19940	358920.8973	502.6
311	57795.84	20068	401360	864	48163.2	20068	481632	720	48163.2	20068	481632	720	40136	26757.26644	541836	648	57795.84	18243.636364	408792.18254	576	64217.439456	20068	361224.90306	504
312	58164.48	20196	403920	866.4	48470.4	20196	484704	722	48470.4	20196	484704	722	40392	26927.93268	545292	649.8	58164.48	18360	411399.58733	577.6	64627.038432	20196	363528.90882	505.4
313	58533.12	20324	406480	868.8	48777.6	20324	487776	724	48777.6	20324	487776	724	40648	27098.59892	548748	651.6	58533.12	18476.363636	414006.99212	579.2	65036.637408	20324	365832.91458	506.8
314	58901.76	20452	409040	871.2	49084.8	20452	490848	726	49084.8	20452	490848	726	40904	27269.26516	552204	653.4	58901.76	18592.727273	416614.39691	580.8	65446.236384	20452	368136.92034	508.2
315	59270.4	20580	411600	873.6	49392	20580	493920	728	49392	20580	493920	728	41160	27439.9314	555660	655.2	59270.4	18709.090909	419221.80171	582.4	65855.83536	20580	370440.9261	509.6
316	59639.04	20708	414160	876	49699.2	20708	496992	730	49699.2	20708	496992	730	41416	27610.59764	559116	657	59639.04	18825.454545	421829.2065	584	66265.434336	20708	372744.93186	511
317	60007.68	20836	416720	878.4	50006.4	20836	500064	732	50006.4	20836	500064	732	41672	27781.26388	562572	658.8	60007.68	18941.818182	424436.61129	585.6	66675.033312	20836	375048.93762	512.4
318	60376.32	20964	419280	880.8	50313.6	20964	503136	734	50313.6	20964	503136	734	41928	27951.93012	566028	660.6	60376.32	19058.181818	427044.01608	587.2	67084.632288	20964	377352.94338	513.8
319	60744.96	21092	421840	883.2	50620.8	21092	506208	736	50620.8	21092	506208	736	42184	28122.59636	569484	662.4	60744.96	19174.545455	429651.42087	588.8	67494.231264	21092	379656.94914	515.2
320	61113.6	21220	424400	885.6	50928	21220	509280	738	50928	21220	509280	738	42440	28293.2626	572940	664.2	61113.6	19290.909091	432258.82567	590.4	67903.83024	21220	381960.9549	516.6
321	61493.76	21352	427040	888	51244.8	21352	512448	740	51244.8	21352	512448	740	42704	28469.26216	576504	666	61493.76	19410.909091	434947.71186	592	68326.229184	21352	384336.96084	518
322	61873.92	21484	429680	890.4	51561.6	21484	515616	742	51561.6	21484	515616	742	42968	28645.26172	580068	667.8	61873.92	19530.909091	437636.59805	593.6	68748.628128	21484	386712.96678	519.4
323	62254.08	21616	432320	892.8	51878.4	21616	518784	744	51878.4	21616	518784	744	43232	28821.26128	583632	669.6	62254.08	19650.909091	440325.48424	595.2	69171.027072	21616	389088.97272	520.8
324	62634.24	21748	434960	895.2	52195.2	21748	521952	746	52195.2	21748	521952	746	43496	28997.26084	587196	671.4	62634.24	19770.909091	443014.37043	596.8	69593.426016	21748	391464.97866	522.2
325	63014.4	21880	437600	897.6	52512	21880	525120	748	52512	21880	525120	748	43760	29173.2604	590760	673.2	63014.4	19890.909091	445703.25662	598.4	70015.82496	21880	393840.9846	523.6
326	63394.56	22012	440240	900	52828.8	22012	528288	750	52828.8	22012	528288	750	44024	29349.25996	594324	675	63394.56	20010.909091	448392.14282	600	70438.223904	22012	396216.99054	525
327	63774.72	22144	442880	902.4	53145.6	22144	531456	752	53145.6	22144	531456	752	44288	29525.25952	597888	676.8	63774.72	20130.909091	451081.02901	601.6	70860.622848	22144	398592.99648	526.4
328	64154.88	22276	445520	904.8	53462.4	22276	534624	754	53462.4	22276	534624	754	44552	29701.25908	601452	678.6	64154.88	20250.909091	453769.9152	603.2	71283.021792	22276	400969.00242	527.8
329	64535.04	22408	448160	907.2	53779.2	22408	537792	756	53779.2	22408	537792	756	44816	29877.25864	605016	680.4	64535.04	20370.909091	456458.80139	604.8	71705.420736	22408	403345.00836	529.2
330	64915.2	22540	450800	909.6	54096	22540	540960	758	54096	22540	540960	758	45080	30053.2582	608580	682.2	64915.2	20490.909091	459147.68758	606.4	72127.81968	22540	405721.0143	530.6
331	65306.88	22676	453520	912	54422.4	22676	544224	760	54422.4	22676	544224	760	45352	30234.59108	612252	684	65306.88	20614.545455	461918.05517	608	72563.018592	22676	408169.02042	532
332	65698.56	22812	456240	914.4	54748.8	22812	547488	762	54748.8	22812	547488	762	45624	30415.92396	615924	685.8	65698.56	20738.181818	464688.42277	609.6	72998.217504	22812	410617.02654	533.4
333	66090.24	22948	458960	916.8	55075.2	22948	550752	764	55075.2	22948	550752	764	45896	30597.25684	619596	687.6	66090.24	20861.818182	467458.79036	611.2	73433.416416	22948	413065.03266	534.8
334	66481.92	23084	461680	919.2	55401.6	23084	554016	766	55401.6	23084	554016	766	46168	30778.58972	623268	689.4	66481.92	20985.454545	470229.15795	612.8	73868.615328	23084	415513.03878	536.2
335	66873.6	23220	464400	921.6	55728	23220	557280	768	55728	23220	557280	768	46440	30959.9226	626940	691.2	66873.6	21109.090909	472999.52554	614.4	74303.81424	23220	417961.0449	537.6
336	67265.28	23356	467120	924	56054.4	23356	560544	770	56054.4	23356	560544	770	46712	31141.25548	630612	693	67265.28	21232.727273	475769.89313	616	74739.013152	23356	420409.05102	539
337	67656.96	23492	469840	926.4	56380.8	23492	563808	772	56380.8	23492	563808	772	46984	31322.58836	634284	694.8	67656.96	21356.363636	478540.26072	617.6	75174.212064	23492	422857.05714	540.4
338	68048.64	23628	472560	928.8	56707.2	23628	567072	774	56707.2	23628	567072	774	47256	31503.92124	637956	696.6	68048.64	21480	481310.62831	619.2	75609.410976	23628	425305.06326	541.8
339	68440.32	23764	475280	931.2	57033.6	23764	570336	776	57033.6	23764	570336	776	47528	31685.25412	641628	698.4	68440.32	21603.636364	484080.99591	620.8	76044.609888	23764	427753.06938	543.2
340	68832	23900	478000	933.6	57360	23900	573600	778	57360	23900	573600	778	47800	31866.587	645300	700.2	68832	21727.272727	486851.3635	622.4	76479.8088	23900	430201.0755	544.6
341	69235.2	24040	480800	936	57696	24040	576960	780	57696	24040	576960	780	48080	32053.2532	649080	702	69235.2	21854.545455	489703.21249	624	76927.80768	24040	432721.0818	546
342	69638.4	24180	483600	938.4	58032	24180	580320	782	58032	24180	580320	782	48360	32239.9194	652860	703.8	69638.4	21981.818182	492555.06148	625.6	77375.80656	24180	435241.0881	547.4
343	70041.6	24320	486400	940.8	58368	24320	583680	784	58368	24320	583680	784	48640	32426.5856	656640	705.6	70041.6	22109.090909	495406.91047	627.2	77823.80544	24320	437761.0944	548.8
344	70444.8	24460	489200	943.2	58704	24460	587040	786	58704	24460	587040	786	48920	32613.2518	660420	707.4	70444.8	22236.363636	498258.75946	628.8	78271.80432	24460	440281.1007	550.2
345	70848	24600	492000	945.6	59040	24600	590400	788	59040	24600	590400	788	49200	32799.918	664200	709.2	70848	22363.636364	501110.60845	630.4	78719.8032	24600	442801.107	551.6
346	71251.2	24740	494800	948	59376	24740	593760	790	59376	24740	593760	790	49480	32986.5842	667980	711	71251.2	22490.909091	503962.45745	632	79167.80208	24740	445321.1133	553
347	71654.4	24880	497600	950.4	59712	24880	597120	792	59712	24880	597120	792	49760	33173.2504	671760	712.8	71654.4	22618.181818	506814.30644	633.6	79615.80096	24880	447841.1196	554.4
348	72057.6	25020	500400	952.8	60048	25020	600480	794	60048	25020	600480	794	50040	33359.9166	675540	714.6	72057.6	22745.454545	509666.15543	635.2	80063.79984	25020	450361.1259	555.8
349	72460.8	25160	503200	955.2	60384	25160	603840	796	60384	25160	603840	796	50320	33546.5828	679320	716.4	72460.8	22872.727273	512518.00442	636.8	80511.79872	25160	452881.1322	557.2
350	72864	25300	506000	957.6	60720	25300	607200	798	60720	25300	607200	798	50600	33733.249	683100	718.2	72864	23000	515369.85341	638.4	80959.7976	25300	455401.1385	558.6
351	73278.72	25444	508880	960	61065.6	25444	610656	800	61065.6	25444	610656	800	50888	33925.24852	686988	720	73278.72	23130.909091	518303.1838	640	81420.596448	25444	457993.14498	560
352	73693.44	25588	511760	962.4	61411.2	25588	614112	802	61411.2	25588	614112	802	51176	34117.24804	690876	721.8	73693.44	23261.818182	521236.51419	641.6	81881.395296	25588	460585.15146	561.4
353	74108.16	25732	514640	964.8	61756.8	25732	617568	804	61756.8	25732	617568	804	51464	34309.24756	694764	723.6	74108.16	23392.727273	524169.84458	643.2	82342.194144	25732	463177.15794	562.8
354	74522.88	25876	517520	967.2	62102.4	25876	621024	806	62102.4	25876	621024	806	51752	34501.24708	698652	725.4	74522.88	23523.636364	527103.17497	644.8	82802.992992	25876	465769.16442	564.2
355	74937.6	26020	520400	969.6	62448	26020	624480	808	62448	26020	624480	808	52040	34693.2466	702540	727.2	74937.6	23654.545455	530036.50536	646.4	83263.79184	26020	468361.1709	565.6
356	75352.32	26164	523280	972	62793.6	26164	627936	810	62793.6	26164	627936	810	52328	34885.24612	706428	729	75352.32	23785.454545	532969.83576	648	83724.590688	26164	470953.17738	567
357	75767.04	26308	526160	974.4	63139.2	26308	631392	812	63139.2	26308	631392	812	52616	35077.24564	710316	730.8	75767.04	23916.363636	535903.16615	649.6	84185.389536	26308	473545.18386	568.4
358	76181.76	26452	529040	976.8	63484.8	26452	634848	814	63484.8	26452	634848	814	52904	35269.24516	714204	732.6	76181.76	24047.272727	538836.49654	651.2	84646.188384	26452	476137.19034	569.8
359	76596.48	26596	531920	979.2	63830.4	26596	638304	816	63830.4	26596	638304	816	53192	35461.24468	718092	734.4	76596.48	24178.181818	541769.82693	652.8	85106.987232	26596	478729.19682	571.2
360	77011.2	26740	534800	981.6	64176	26740	641760	818	64176	26740	641760	818	53480	35653.2442	721980	736.2	77011.2	24309.090909	544703.15732	654.4	85567.78608	26740	481321.2033	572.6
